Receipt#,Total Amount,Total Items,Date,Void Count,Void Amount,Return Count,Return Amount,Cashier Name,Register ID
115,318.53,28,2023-10-08 16:14:04.248535,0,0.0,2,26.8,Arif,1
116,436.37,14,2024-01-11 16:14:04.248544,2,22.3,0,0.0,Ali,1
117,402.82,27,2024-06-20 16:14:04.248549,1,35.88,1,21.14,Junaid,1
118,97.35,41,2024-04-19 16:14:04.248554,3,8.33,0,0.0,Arif,1
119,446.82,40,2024-06-22 16:14:04.248558,3,22.2,2,12.94,Junaid,1
120,271.97,28,2024-04-28 16:14:04.248563,3,22.36,1,19.61,Junaid,4
121,404.68,26,2023-11-19 16:14:04.248568,2,36.34,2,18.22,Ramzan,5
122,448.57,49,2023-12-01 16:14:04.248573,0,0.0,2,13.03,Junaid,1
123,162.41,2,2024-04-20 16:14:04.248578,3,45.58,1,1.61,Junaid,1
124,59.48,25,2023-11-07 16:14:04.248582,0,0.0,2,9.93,Arif,1
125,117.83,3,2024-01-26 16:14:04.248587,2,30.74,2,29.23,Arif,1
126,216.42,8,2023-11-08 16:14:04.248592,1,21.75,0,0.0,Asif,2
127,409.92,44,2024-02-10 16:14:04.248597,1,31.97,2,12.28,Ramzan,2
128,431.06,33,2024-02-29 16:14:04.248602,1,39.57,2,16.62,Junaid,3
129,8.44,42,2024-05-12 16:14:04.248608,3,2.87,2,27.77,Ramzan,1
130,257.82,35,2024-06-23 16:14:04.248615,1,33.56,2,16.2,Ali,3
131,211.62,6,2023-12-16 16:14:04.248621,3,20.31,1,19.82,Junaid,4
132,114.94,39,2023-12-24 16:14:04.248626,2,25.65,0,0.0,Ramzan,3
133,64.33,23,2024-07-17 16:14:04.248631,2,37.49,2,8.92,Asif,5
134,172.12,25,2024-08-08 16:14:04.248635,3,8.0,2,2.88,Asif,2
135,471.74,50,2024-07-07 16:14:04.248640,0,0.0,1,11.79,Junaid,2
136,164.99,43,2024-06-15 16:14:04.248645,1,1.56,2,16.49,Ali,1
137,261.8,19,2023-10-16 16:14:04.248649,1,42.43,1,14.73,Asif,1
138,352.99,5,2024-06-12 16:14:04.248654,1,33.9,0,0.0,Asif,4
139,185.0,11,2023-09-19 16:14:04.248658,3,21.91,0,0.0,Ali,4
140,486.03,12,2024-01-29 16:14:04.248663,2,6.31,2,1.64,Ramzan,5
141,481.41,10,2023-11-01 16:14:04.248667,1,11.8,2,0.11,Asif,1
142,129.63,8,2024-07-31 16:14:04.248672,2,32.26,2,2.63,Arif,1
143,251.14,24,2024-02-17 16:14:04.248677,1,18.11,1,24.72,Asif,4
144,153.93,28,2024-02-19 16:14:04.248681,1,47.47,2,18.75,Ramzan,4
145,146.0,41,2023-11-01 16:14:04.248687,3,1.62,2,14.41,Ramzan,4
146,23.26,36,2024-01-06 16:14:04.248692,0,0.0,0,0.0,Junaid,2
147,306.73,37,2023-12-06 16:14:04.248697,3,7.67,2,2.91,Arif,3
148,253.83,21,2024-04-26 16:14:04.248702,1,22.5,0,0.0,Ramzan,3
149,30.48,8,2023-11-23 16:14:04.248706,1,18.55,2,6.21,Ali,1
150,142.93,9,2024-08-27 16:14:04.248714,0,0.0,0,0.0,Arif,2
151,454.59,47,2023-09-19 16:14:04.248719,2,22.2,2,19.15,Arif,4
152,123.58,15,2024-07-05 16:14:04.248724,2,3.84,0,0.0,Ali,1
153,76.72,48,2023-09-18 16:14:04.248728,1,6.88,1,29.31,Asif,2
154,247.28,46,2023-12-02 16:14:04.248733,2,18.35,0,0.0,Ali,5
155,492.9,40,2024-04-18 16:14:04.248738,1,15.72,0,0.0,Ali,2
156,124.82,18,2023-10-09 16:14:04.248743,0,0.0,0,0.0,Asif,1
157,337.71,42,2024-03-11 16:14:04.248748,0,0.0,2,14.21,Asif,3
158,382.0,20,2024-07-06 16:14:04.248752,1,13.93,2,3.47,Asif,4
159,122.63,6,2024-04-04 16:14:04.248757,0,0.0,2,23.55,Asif,5
160,365.47,12,2024-01-23 16:14:04.248762,3,48.03,1,14.13,Asif,2
161,187.05,2,2024-06-13 16:14:04.248769,3,1.3,1,26.85,Ali,1
162,317.99,7,2024-01-13 16:14:04.248774,0,0.0,0,0.0,Junaid,1
163,318.6,16,2024-08-31 16:14:04.248779,1,9.3,1,7.95,Junaid,4
164,270.21,3,2024-04-20 16:14:04.248783,1,25.89,0,0.0,Ramzan,1
165,49.69,45,2023-12-20 16:14:04.248789,0,0.0,0,0.0,Junaid,1
166,418.47,3,2024-06-02 16:14:04.248793,2,45.68,0,0.0,Junaid,4
167,163.79,27,2023-12-17 16:14:04.248798,3,5.89,1,19.26,Ali,5
168,97.33,50,2024-07-09 16:14:04.248802,2,38.75,2,11.63,Asif,3
169,25.18,43,2023-10-17 16:14:04.248807,1,35.2,1,11.13,Asif,3
170,297.49,40,2024-04-02 16:14:04.248813,1,10.73,0,0.0,Ali,2
171,340.39,38,2023-10-10 16:14:04.248818,2,30.59,0,0.0,Junaid,5
172,13.21,33,2023-12-17 16:14:04.248823,0,0.0,1,11.44,Ali,2
173,258.49,28,2023-10-26 16:14:04.248828,2,34.7,0,0.0,Ramzan,3
174,117.12,1,2024-05-23 16:14:04.248835,2,49.93,0,0.0,Asif,4
175,324.36,8,2024-06-15 16:14:04.248841,3,10.01,1,5.6,Arif,1
176,91.31,37,2024-02-23 16:14:04.248846,3,6.79,1,1.34,Ramzan,3
177,347.01,32,2024-06-11 16:14:04.248851,2,3.7,1,13.19,Ramzan,5
178,196.43,48,2023-11-30 16:14:04.248856,2,8.63,0,0.0,Ali,3
179,468.68,43,2023-12-05 16:14:04.248860,1,35.67,0,0.0,Junaid,5
180,73.07,37,2024-09-01 16:14:04.248866,3,49.86,2,7.9,Asif,5
181,173.83,4,2023-10-31 16:14:04.248874,3,40.53,2,25.11,Arif,5
182,61.17,30,2024-03-20 16:14:04.248880,1,48.38,1,16.93,Ramzan,2
183,462.72,6,2023-12-26 16:14:04.248884,0,0.0,2,4.53,Arif,4
184,439.28,46,2024-08-23 16:14:04.248890,3,49.33,0,0.0,Junaid,3
185,132.68,19,2024-07-06 16:14:04.248894,3,33.39,2,20.89,Junaid,4
186,331.69,32,2024-02-29 16:14:04.248899,0,0.0,0,0.0,Arif,1
187,409.52,9,2024-03-28 16:14:04.248904,3,35.48,1,2.9,Asif,3
188,279.82,12,2024-05-02 16:14:04.248910,3,27.5,1,20.04,Junaid,4
189,267.18,11,2024-08-03 16:14:04.248915,0,0.0,0,0.0,Arif,4
190,124.72,46,2024-05-01 16:14:04.248919,0,0.0,2,24.25,Ramzan,1
191,51.09,16,2023-11-16 16:14:04.248924,2,14.52,1,12.42,Arif,5
192,449.12,1,2024-07-23 16:14:04.248929,1,15.0,1,22.69,Arif,3
193,450.71,45,2024-07-20 16:14:04.248934,1,7.88,2,6.83,Ali,3
194,318.39,21,2023-12-28 16:14:04.248938,0,0.0,2,1.83,Junaid,1
195,172.82,30,2024-07-28 16:14:04.248943,0,0.0,0,0.0,Asif,5
196,177.86,13,2023-12-04 16:14:04.248948,3,35.48,2,11.61,Asif,3
197,364.35,34,2024-06-29 16:14:04.248953,2,35.01,2,15.68,Ali,3
198,449.07,4,2024-06-28 16:14:04.249084,2,8.7,2,28.97,Asif,3
199,444.11,28,2023-09-30 16:14:04.249103,0,0.0,0,0.0,Arif,5
200,391.04,38,2024-01-02 16:14:04.249109,3,18.07,0,0.0,Ali,1
201,322.81,31,2023-11-25 16:14:04.249114,3,11.21,1,20.61,Ramzan,3
202,46.65,27,2024-06-09 16:14:04.249124,1,49.26,0,0.0,Junaid,4
203,85.01,5,2024-04-19 16:14:04.249129,1,39.6,1,28.09,Junaid,5
204,449.78,25,2023-12-06 16:14:04.249134,3,11.84,2,17.18,Junaid,2
205,305.18,3,2023-10-27 16:14:04.249138,1,24.7,1,7.07,Arif,1
206,9.55,33,2024-01-29 16:14:04.249143,0,0.0,1,8.97,Ramzan,4
207,55.23,4,2024-05-16 16:14:04.249148,3,18.04,2,11.84,Ali,3
208,333.43,25,2023-11-30 16:14:04.249152,1,28.61,1,25.62,Ali,2
209,7.51,20,2023-09-14 16:14:04.249157,2,23.37,0,0.0,Junaid,1
210,84.6,34,2024-05-22 16:14:04.249163,3,49.15,0,0.0,Ramzan,5
211,276.62,26,2023-09-02 16:14:04.249170,3,6.49,0,0.0,Ramzan,2
212,347.49,5,2024-03-26 16:14:04.249175,2,44.21,0,0.0,Ramzan,2
213,327.72,35,2024-02-10 16:14:04.249181,0,0.0,1,1.04,Asif,4
214,116.01,28,2023-09-24 16:14:04.249186,2,3.29,1,17.14,Asif,1
215,357.53,29,2023-10-05 16:14:04.249191,3,19.91,2,15.5,Junaid,4
216,122.44,9,2024-02-23 16:14:04.249196,0,0.0,1,17.14,Ramzan,4
217,166.07,38,2024-01-21 16:14:04.249201,1,35.85,1,29.48,Ramzan,3
218,374.51,50,2023-12-12 16:14:04.249206,1,23.93,1,4.42,Ali,5
219,326.57,6,2024-01-14 16:14:04.249211,1,20.54,2,28.48,Ali,2
220,425.37,19,2024-07-02 16:14:04.249216,3,20.47,0,0.0,Junaid,1
221,330.52,44,2024-04-28 16:14:04.249220,2,28.75,1,13.47,Ramzan,5
222,286.31,11,2024-05-09 16:14:04.249225,0,0.0,2,28.47,Junaid,5
223,51.37,2,2024-07-31 16:14:04.249230,1,6.27,2,5.01,Ali,1
224,187.02,47,2024-03-12 16:14:04.249234,0,0.0,2,6.36,Ali,5
225,136.28,44,2024-08-22 16:14:04.249240,3,15.85,0,0.0,Asif,3
226,125.77,44,2023-11-05 16:14:04.249244,1,3.71,1,5.78,Junaid,5
227,486.64,9,2023-11-23 16:14:04.249249,3,23.29,2,1.28,Junaid,3
228,199.58,21,2024-05-07 16:14:04.249255,2,25.87,0,0.0,Ramzan,2
229,446.56,24,2023-11-05 16:14:04.249260,3,6.42,2,2.35,Ramzan,2
230,317.41,34,2024-05-12 16:14:04.249265,3,41.45,2,20.49,Asif,4
231,398.43,22,2024-08-29 16:14:04.249269,2,27.57,2,6.06,Arif,3
232,253.81,3,2024-07-27 16:14:04.249274,0,0.0,2,24.68,Arif,2
233,290.57,12,2023-09-05 16:14:04.249279,2,29.39,2,4.44,Arif,5
234,248.8,28,2023-10-14 16:14:04.249289,2,38.39,0,0.0,Junaid,1
235,101.65,30,2024-08-02 16:14:04.249294,3,6.45,1,17.85,Junaid,1
236,362.61,26,2024-05-07 16:14:04.249298,0,0.0,1,9.59,Ali,3
237,143.98,48,2024-07-29 16:14:04.249303,1,25.14,1,21.81,Junaid,4
238,17.04,21,2024-08-16 16:14:04.249307,2,43.41,1,24.22,Junaid,5
239,324.51,28,2024-03-16 16:14:04.249312,0,0.0,0,0.0,Junaid,3
240,92.67,26,2024-07-27 16:14:04.249316,2,41.57,0,0.0,Asif,1
241,470.53,33,2023-12-13 16:14:04.249321,2,25.91,0,0.0,Junaid,3
242,477.19,21,2024-05-03 16:14:04.249326,2,15.21,2,2.61,Ramzan,5
243,457.86,35,2024-04-12 16:14:04.249330,2,8.1,2,16.69,Ramzan,2
244,188.23,34,2023-09-25 16:14:04.249335,3,46.74,2,16.56,Ali,5
245,12.65,41,2023-12-28 16:14:04.249340,0,0.0,1,25.7,Asif,2
246,464.52,47,2024-05-15 16:14:04.249345,0,0.0,2,15.59,Ramzan,2
247,216.95,18,2023-11-30 16:14:04.249350,0,0.0,1,27.51,Asif,2
248,483.49,11,2024-06-26 16:14:04.249355,2,11.27,2,0.37,Asif,3
249,481.99,23,2023-11-14 16:14:04.249359,3,47.37,1,21.01,Ali,1
250,427.24,48,2023-11-11 16:14:04.249365,2,25.94,2,17.63,Asif,3
251,150.75,22,2024-01-03 16:14:04.249370,2,14.2,2,23.45,Junaid,1
252,195.62,17,2024-04-30 16:14:04.249375,0,0.0,0,0.0,Asif,5
253,426.31,5,2024-01-03 16:14:04.249379,2,3.94,2,3.38,Ali,4
254,161.88,44,2024-02-06 16:14:04.249385,1,9.82,2,4.49,Ali,5
255,88.9,11,2024-05-27 16:14:04.249390,2,47.82,0,0.0,Ali,3
256,280.62,30,2024-07-15 16:14:04.249396,1,13.72,1,17.0,Ramzan,3
257,468.4,15,2024-07-14 16:14:04.249400,2,31.25,0,0.0,Junaid,1
258,349.53,27,2023-09-30 16:14:04.249405,3,30.72,0,0.0,Ramzan,3
259,287.18,35,2024-01-25 16:14:04.249410,3,4.67,1,17.48,Arif,2
260,53.1,33,2024-03-04 16:14:04.249415,0,0.0,2,28.94,Junaid,3
261,309.43,20,2024-01-29 16:14:04.249422,2,32.05,1,3.01,Asif,1
262,495.08,16,2024-02-04 16:14:04.249427,1,29.59,2,3.17,Ali,1
263,74.34,34,2024-01-06 16:14:04.249432,1,29.03,2,23.39,Arif,2
264,261.57,2,2024-08-05 16:14:04.249437,2,8.56,1,23.57,Junaid,1
265,439.3,35,2023-09-23 16:14:04.249442,1,31.22,0,0.0,Ramzan,4
266,371.68,40,2023-10-03 16:14:04.249447,3,45.1,1,26.02,Ali,5
267,350.02,28,2023-10-07 16:14:04.249452,1,16.88,2,26.4,Ramzan,3
268,352.73,47,2024-07-13 16:14:04.249457,0,0.0,1,26.34,Junaid,4
269,182.95,39,2024-08-01 16:14:04.249462,3,46.2,1,7.92,Junaid,3
270,150.33,6,2024-02-08 16:14:04.249468,3,2.06,2,19.64,Arif,4
271,405.63,9,2024-03-12 16:14:04.249473,3,43.19,0,0.0,Asif,3
272,406.01,20,2024-07-08 16:14:04.249478,2,4.06,1,17.16,Ramzan,2
273,434.2,1,2024-04-27 16:14:04.249483,2,47.43,2,14.19,Arif,1
274,457.05,8,2024-05-26 16:14:04.249489,3,38.55,2,5.17,Ali,1
275,258.11,23,2024-05-27 16:14:04.249494,2,13.23,1,12.09,Asif,2
276,253.25,3,2023-12-02 16:14:04.249499,1,10.54,0,0.0,Arif,4
277,400.16,4,2024-01-16 16:14:04.249504,2,28.61,1,18.55,Ramzan,5
278,326.73,25,2024-06-22 16:14:04.249509,2,30.91,0,0.0,Junaid,4
279,352.47,47,2024-01-29 16:14:04.249514,3,1.51,0,0.0,Ali,1
280,398.92,38,2024-05-31 16:14:04.249519,0,0.0,0,0.0,Ramzan,5
281,445.55,15,2024-04-12 16:14:04.249524,0,0.0,0,0.0,Asif,3
282,172.31,21,2024-01-09 16:14:04.249529,0,0.0,1,20.42,Asif,5
283,190.91,35,2024-04-27 16:14:04.249534,1,44.45,2,12.05,Junaid,4
284,51.52,46,2024-07-25 16:14:04.249539,2,27.28,2,11.87,Junaid,2
285,291.25,14,2024-01-19 16:14:04.249545,0,0.0,2,26.37,Ali,3
286,22.79,36,2023-11-25 16:14:04.249550,3,32.1,2,20.72,Ali,4
287,235.47,12,2024-07-13 16:14:04.249556,0,0.0,2,1.48,Junaid,3
288,273.61,17,2024-08-07 16:14:04.249561,0,0.0,2,14.26,Junaid,5
289,146.84,39,2023-10-04 16:14:04.249566,2,15.1,1,8.06,Asif,1
290,297.46,9,2023-11-30 16:14:04.249572,2,12.24,0,0.0,Junaid,4
291,20.1,35,2024-08-25 16:14:04.249577,2,40.37,2,11.17,Arif,2
292,23.49,13,2024-07-16 16:14:04.249582,1,20.3,1,10.14,Ramzan,5
293,412.19,15,2024-05-03 16:14:04.249587,1,22.68,2,23.81,Junaid,4
294,183.29,18,2024-06-08 16:14:04.249593,0,0.0,2,9.33,Ali,2
295,67.89,33,2024-02-06 16:14:04.249598,2,34.43,0,0.0,Arif,4
296,263.51,6,2023-12-28 16:14:04.249603,0,0.0,0,0.0,Ali,5
297,386.15,27,2023-12-30 16:14:04.249608,3,7.9,0,0.0,Arif,4
298,111.83,23,2024-05-15 16:14:04.249613,3,20.78,2,25.29,Junaid,3
299,313.33,27,2024-02-09 16:14:04.249618,2,23.22,2,25.75,Ramzan,5
300,47.25,34,2024-08-02 16:14:04.249623,2,17.01,2,20.55,Ali,4
301,30.58,46,2024-06-09 16:14:04.249628,3,7.18,0,0.0,Arif,1
302,268.02,38,2024-02-20 16:14:04.249633,2,43.07,1,29.17,Asif,4
303,272.61,14,2024-08-31 16:14:04.249638,1,15.97,2,6.84,Junaid,3
304,320.53,36,2024-02-15 16:14:04.249643,1,49.4,2,9.01,Ramzan,2
305,364.42,8,2024-04-19 16:14:04.249648,2,17.27,2,22.31,Junaid,2
306,488.05,35,2024-01-13 16:14:04.249653,3,19.94,1,23.22,Asif,2
307,260.57,19,2024-04-08 16:14:04.249659,0,0.0,2,9.63,Ramzan,1
308,164.86,30,2024-01-29 16:14:04.249664,2,38.03,1,21.86,Asif,3
309,398.62,14,2023-09-11 16:14:04.249669,2,25.75,2,18.15,Junaid,5
310,139.06,20,2023-11-22 16:14:04.249678,0,0.0,1,2.68,Arif,2
311,222.29,49,2023-09-29 16:14:04.249687,2,5.31,2,13.25,Junaid,3
312,43.84,25,2023-12-27 16:14:04.249692,0,0.0,0,0.0,Junaid,4
313,17.55,40,2024-06-14 16:14:04.249697,3,12.09,0,0.0,Junaid,1
314,481.51,24,2024-05-27 16:14:04.249702,1,6.13,0,0.0,Ali,3
315,418.81,14,2024-04-03 16:14:04.249707,3,22.48,0,0.0,Asif,3
316,349.51,26,2024-05-13 16:14:04.249713,1,7.04,2,27.4,Asif,5
317,207.43,38,2024-08-03 16:14:04.249717,0,0.0,0,0.0,Asif,3
318,90.78,23,2023-11-10 16:14:04.249722,1,2.53,1,12.22,Ali,5
319,82.44,22,2023-11-29 16:14:04.249728,3,47.27,0,0.0,Arif,1
320,128.87,48,2024-08-01 16:14:04.249733,1,43.21,0,0.0,Junaid,1
321,276.87,19,2024-03-25 16:14:04.249738,0,0.0,0,0.0,Arif,4
322,358.72,46,2024-08-03 16:14:04.249743,1,20.91,2,14.53,Ali,5
323,331.8,3,2024-08-07 16:14:04.249748,2,48.13,0,0.0,Asif,5
324,143.57,42,2023-11-07 16:14:04.249753,3,45.12,1,15.5,Junaid,2
325,477.66,19,2024-01-01 16:14:04.249759,2,40.67,0,0.0,Ramzan,2
